Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Women Talking,2022,PG-13,20-Jan-23,104 min,Drama,Sarah Polley,"Sarah Polley, Miriam Toews","Rooney Mara, Claire Foy, Jessie Buckley","Do nothing, stay and fight, or leave. In 2010, the women of an isolated religious community grapple with reconciling a brutal reality with their faith.",English,United States,Won 1 Oscar. 58 wins & 154 nominations total,https://m.media-amazon.com/images/M/MV5BYTZmMmQ4OWYtM2JmNC00NzY0LWJhODUtOTRmMWMyOTU4OWQ4XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,79,7,"27,140",tt13669038,movie,N/A,"$5,456,531 ",N/A,N/A,TRUE
Everything Everywhere All at Once,2022,R,8-Apr-22,139 min,"Action, Adventure, Comedy","Daniel Kwan, Daniel Scheinert","Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"English, Mandarin, Cantonese",United States,Won 7 Oscars. 370 wins & 347 nominations total,https://m.media-amazon.com/images/M/MV5BYTdiOTIyZTQtNmQ1OS00NjZlLWIyMTgtYzk5Y2M3ZDVmMDk1XkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_SX300.jpg,81,7.9,"428,822",tt6710474,movie,7-Jun-22,"$77,169,469 ",N/A,N/A,TRUE
The Banshees of Inisherin,2022,R,4-Nov-22,114 min,"Comedy, Drama",Martin McDonagh,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon","Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",English,"United Kingdom, United States, Ireland",Nominated for 9 Oscars. 133 wins & 334 nominations total,https://m.media-amazon.com/images/M/MV5BM2NlZDI0ZDktNTg5OS00ZjQ1LWI4MDEtN2I0MDE5NWRiNzA4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,87,7.7,"178,438",tt11813216,movie,13-Dec-22,"$10,582,266 ",N/A,N/A,TRUE
Triangle of Sadness,2022,R,18-Sep-22,147 min,"Comedy, Drama",Ruben 脰stlund,Ruben 脰stlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean",A fashion model celebrity couple join an eventful cruise for the super-rich.,"English, Swedish, German, French, Greek, Tagalog, Akan","United States, Sweden, United Kingdom, Germany, France, Turkey, Denmark, Greece, Switzerland, Mexico",Nominated for 3 Oscars. 21 wins & 68 nominations total,https://m.media-amazon.com/images/M/MV5BNDRiZjc0ZDMtMjhlYi00ZjAzLTg0MDQtZDI2NGEyYTBlN2M2XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,63,7.4,"107,823",tt7322224,movie,22-Nov-22,"$4,608,096 ",N/A,N/A,TRUE
The Fabelmans,2022,PG-13,23-Nov-22,151 min,Drama,Steven Spielberg,"Steven Spielberg, Tony Kushner","Michelle Williams, Gabriel LaBelle, Paul Dano","Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",English,"United States, India",Nominated for 7 Oscars. 27 wins & 273 nominations total,https://m.media-amazon.com/images/M/MV5BZGM1MzczNmQtMjBmYS00NTRhLWI0MzctNTFkZDc4OGUyODdjXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,84,7.6,"83,353",tt14208870,movie,13-Dec-22,"$17,348,945 ",N/A,N/A,TRUE
All Quiet on the Western Front,2022,R,28-Oct-22,148 min,"Action, Drama, War",Edward Berger,"Edward Berger, Lesley Paterson, Ian Stokell","Felix Kammerer, Albrecht Schuch, Aaron Hilmer",A young German soldier's terrifying experiences and distress on the western front during World War I.,"German, French","Germany, United States, United Kingdom",Won 4 Oscars. 35 wins & 86 nominations total,https://m.media-amazon.com/images/M/MV5BMzM4ZDJhYjYtZGY5Ny00NTk0LWI4ZTYtNjczZDFiMGI2ZjEzXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,76,7.8,"184,117",tt1016150,movie,28-Oct-22,N/A,N/A,N/A,TRUE
Avatar: The Way of Water,2022,PG-13,16-Dec-22,192 min,"Action, Adventure, Fantasy",James Cameron,"James Cameron, Rick Jaffa, Amanda Silver","Sam Worthington, Zoe Saldana, Sigourney Weaver","""Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",English,United States,Won 1 Oscar. 61 wins & 120 nominations total,https://m.media-amazon.com/images/M/MV5BYjhiNjBlODctY2ZiOC00YjVlLWFlNzAtNTVhNzM1YjI1NzMxXkEyXkFqcGdeQXVyMjQxNTE1MDA@._V1_SX300.jpg,67,7.7,"338,836",tt1630029,movie,28-Mar-23,"$681,919,456 ",N/A,N/A,TRUE
T醨,2022,R,28-Oct-22,158 min,"Drama, Music",Todd Field,Todd Field,"Cate Blanchett, No閙ie Merlant, Nina Hoss","Set in the international world of Western classical music, the film centers on Lydia T醨, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra.","English, German, Filipino, French",United States,Nominated for 6 Oscars. 68 wins & 239 nominations total,https://m.media-amazon.com/images/M/MV5BM2I0ZDcyYzItMGEyNi00YWVhLTlmNTQtOWVlYjE1ZGVhNWM0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,92,7.5,"64,418",tt14444726,movie,N/A,"$6,773,650 ",N/A,N/A,TRUE
Top Gun: Maverick,2022,PG-13,27-May-22,130 min,"Action, Drama",Joseph Kosinski,"Jim Cash, Jack Epps Jr., Peter Craig","Tom Cruise, Jennifer Connelly, Miles Teller","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to ...",English,United States,Won 1 Oscar. 87 wins & 199 nominations total,https://m.media-amazon.com/images/M/MV5BZWYzOGEwNTgtNWU3NS00ZTQ0LWJkODUtMmVhMjIwMjA1ZmQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,78,8.3,"560,750",tt1745960,movie,N/A,"$718,732,821 ",N/A,N/A,TRUE
Elvis,2022,PG-13,24-Jun-22,159 min,"Biography, Drama, Music",Baz Luhrmann,"Baz Luhrmann, Sam Bromell, Craig Pearce","Tom Hanks, Austin Butler, Olivia DeJonge","The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",English,"United States, Australia",Nominated for 8 Oscars. 76 wins & 223 nominations total,https://m.media-amazon.com/images/M/MV5BYzMzNTJjYmMtZTkxNS00MjI4LWI3YmQtOTQ4MDZjZDJlZjQyXkEyXkFqcGdeQXVyNjc0NzQzNTM@._V1_SX300.jpg,64,7.3,"204,731",tt3704428,movie,9-Aug-22,"$151,040,048 ",N/A,N/A,TRUE
