"","X","line","movie"
"1",1,"                 BOHEMIAN)RHAPSODY))","Bohemian Rhapsody"
"2",2,"                                       )","Bohemian Rhapsody"
"3",3,"                             Original)Screenplay)","Bohemian Rhapsody"
"4",4,"                                      by)","Bohemian Rhapsody"
"5",5,"                             Anthony)McCarten)","Bohemian Rhapsody"
"6",6,")","Bohemian Rhapsody"
"7",7,")","Bohemian Rhapsody"
"8",8,")","Bohemian Rhapsody"
"9",9,")","Bohemian Rhapsody"
"10",10,")","Bohemian Rhapsody"
"11",11,"","Bohemian Rhapsody"
"12",12,"","Bohemian Rhapsody"
"13",13,"","Bohemian Rhapsody"
"14",14,"","Bohemian Rhapsody"
"15",15,"                                                    )","Bohemian Rhapsody"
"16",16,"                                     )","Bohemian Rhapsody"
"17",17,"                                     )","Bohemian Rhapsody"
"18",18,"                                     )","Bohemian Rhapsody"
"19",19,"                                     )","Bohemian Rhapsody"
"20",20,"                                     )","Bohemian Rhapsody"
"21",21,"                               THIRD)DRAFT)","Bohemian Rhapsody"
"22",22,"                                 )Nov)4.)2015)","Bohemian Rhapsody"
"23",23,")","Bohemian Rhapsody"
"24",24,")","Bohemian Rhapsody"
"25",25,")","Bohemian Rhapsody"
"26",26,")","Bohemian Rhapsody"
"27",27,"For)GK)Films/)Queen)Films)","Bohemian Rhapsody"
"28",28,"Producer:)Graham)King)","Bohemian Rhapsody"
"29",29,")","Bohemian Rhapsody"
"30",30,")","Bohemian Rhapsody"
"31",31,")","Bohemian Rhapsody"
"32",32,"On a BLACK SCREEN -","Bohemian Rhapsody"
"33",33,"","Bohemian Rhapsody"
"34",34,"       CAPTION:     IS THIS THE REAL LIFE?","Bohemian Rhapsody"
"35",35,"","Bohemian Rhapsody"
"36",36," - as we hear - the famous intro to Queen’s “WE WILL ROCK","Bohemian Rhapsody"
"37",37,"YOU” - BOOM-BOOM-CHA...BOOM-BOOM-CHA - both band and a huge","Bohemian Rhapsody"
"38",38,"stadium audience combining to beat out the anthemic","Bohemian Rhapsody"
"39",39,"rhythm...","Bohemian Rhapsody"
"40",40,"","Bohemian Rhapsody"
"41",41,"FADE IN...","Bohemian Rhapsody"
"42",42,"","Bohemian Rhapsody"
"43",43,"","Bohemian Rhapsody"
"44",44,"INT. FREDDIE’S GEORGIAN MANSION (GARDEN LODGE)/ LONDON -","Bohemian Rhapsody"
"45",45,"DAY","Bohemian Rhapsody"
"46",46,"","Bohemian Rhapsody"
"47",47,"This SOUND-TRACK fades away, shifting into funereal SCORE","Bohemian Rhapsody"
"48",48,"(”GOLDEN BOY” by FREDDIE MERCURY) as - we look down","Bohemian Rhapsody"
"49",49,"through a series of opened doors, toward a distant BEDROOM","Bohemian Rhapsody"
"50",50,"DOOR. From within, a distraught voice cries out:","Bohemian Rhapsody"
"51",51,"","Bohemian Rhapsody"
"52",52,"                          JIM HUTTON (O.S.)","Bohemian Rhapsody"
"53",53,"             Freddie!","Bohemian Rhapsody"
"54",54,"","Bohemian Rhapsody"
"55",55,"The DOOR then springs open - it’s JIM HUTTON (FREDDIE’s","Bohemian Rhapsody"
"56",56,"long-term partner and carer) running, heart-broken, through","Bohemian Rhapsody"
"57",57,"the upstairs rooms of Freddie’s mansion, finally stopping","Bohemian Rhapsody"
"58",58,"at the top of the stairs, as -","Bohemian Rhapsody"
"59",59,"","Bohemian Rhapsody"
"60",60," - the front door opens. It’s MARY AUSTIN (40) entering,","Bohemian Rhapsody"
"61",61,"breathless, with her own key. She looks up the stairs, at","Bohemian Rhapsody"
"62",62,"JIM, who is standing there, tearful, grief-stricken.","Bohemian Rhapsody"
"63",63,"","Bohemian Rhapsody"
"64",64,"MARY catches her breath. Her face starts to crumple as","Bohemian Rhapsody"
"65",65,"JIM’s expression delivers the tragic news. MARY puts down","Bohemian Rhapsody"
"66",66,"her bags and climbs the stairs, stopping to steady herself,","Bohemian Rhapsody"
"67",67,"until she and JIM hug, hold hands, then move together","Bohemian Rhapsody"
"68",68,"toward the distant bedroom and a big round bed lit from","Bohemian Rhapsody"
"69",69,"above by a column of daylight. On the bed, distantly, we","Bohemian Rhapsody"
"70",70,"can just make out a still FIGURE over which JIM and MARY","Bohemian Rhapsody"
"71",71,"bend...","Bohemian Rhapsody"
"72",72,"","Bohemian Rhapsody"
"73",73,"                           MARY","Bohemian Rhapsody"
"74",74,"             Freddie?! Oh no, oh no!","Bohemian Rhapsody"
"75",75,"","Bohemian Rhapsody"
"76",76,"","Bohemian Rhapsody"
"77",77,"INT. MASKED BALL/ FREDDIE’S MANSION - NIGHT","Bohemian Rhapsody"
"78",78,"","Bohemian Rhapsody"
"79",79,"A gorgeous pageant of a party, in full flow -","Bohemian Rhapsody"
"80",80,"","Bohemian Rhapsody"
"81",81,"FREDDIE MERCURY (in a full Venetian mask and hood, his face","Bohemian Rhapsody"
"82",82,"concealed) enters the ROOM, at his most glorious and","Bohemian Rhapsody"
"83",83,"magnificent – people calling out his name - ""FREDDIE!""...","Bohemian Rhapsody"
"84",84,"","Bohemian Rhapsody"
"85",85,"","Bohemian Rhapsody"
"86",86,"","Bohemian Rhapsody"
"87",87,"                                                (CONTINUED)","Bohemian Rhapsody"
"88",88,"                                                        2.","Bohemian Rhapsody"
"89",89,"CONTINUED:","Bohemian Rhapsody"
"90",90,"","Bohemian Rhapsody"
"91",91,"The crowd hushes as FREDDIE passes through the crowd and","Bohemian Rhapsody"
"92",92,"sits at a grand piano and starts to play the intro of ""It's","Bohemian Rhapsody"
"93",93,"A Beautiful Day""... He is joined at the piano by a masked","Bohemian Rhapsody"
"94",94,"female SOPRANO (Montserat Caballe?) Her unwavering,","Bohemian Rhapsody"
"95",95,"crystalline voice, as well as the beauty of the song, moves","Bohemian Rhapsody"
"96",96,"the masked guests. Song continues, over...","Bohemian Rhapsody"
"97",97,"","Bohemian Rhapsody"
"98",98,"","Bohemian Rhapsody"
"99",99,"INT. BBC TV STUDIO - DAY","Bohemian Rhapsody"
"100",100,"","Bohemian Rhapsody"
"101",101,"                           BBC ANCHORMAN","Bohemian Rhapsody"
"102",102,"             Tragic news today--for fans of the","Bohemian Rhapsody"
"103",103,"             Super-group Queen--that Freddie","Bohemian Rhapsody"
"104",104,"             Mercury, their iconic and renown","Bohemian Rhapsody"
"105",105,"             frontman...","Bohemian Rhapsody"
"106",106,"","Bohemian Rhapsody"
"107",107,"","Bohemian Rhapsody"
"108",108,"EXT. FREDDIE’S MANSION/ KENSINGTON/ LONDON - DAY","Bohemian Rhapsody"
"109",109,"","Bohemian Rhapsody"
"110",110,"At the gates of “GARDEN LODGE” - votive candles burn, cards","Bohemian Rhapsody"
"111",111,"and wreathes and bouquets are laid by a large crowd of","Bohemian Rhapsody"
"112",112,"grieving fans who also -","Bohemian Rhapsody"
"113",113,"","Bohemian Rhapsody"
"114",114,"- write messages of LOVE on every single BRICK of the","Bohemian Rhapsody"
"115",115,"lodge’s 15m-long 3m-high FRONT-WALL...","Bohemian Rhapsody"
"116",116,"","Bohemian Rhapsody"
"117",117,"MONTAGE:","Bohemian Rhapsody"
"118",118,"","Bohemian Rhapsody"
"119",119,"ARCHIVE FOOTAGE: of GRIEVING FANS around the world - TOKYO,","Bohemian Rhapsody"
"120",120,"MUNICH, MUMBAI, BARCELONA, NEW YORK - laying flowers and","Bohemian Rhapsody"
"121",121,"messages at makeshift SHRINES to FREDDIE...","Bohemian Rhapsody"
"122",122,"","Bohemian Rhapsody"
"123",123,"                           JAPANESE ANCHOR (O.S.)","Bohemian Rhapsody"
"124",124,"             ...rokkusuta, Freddie Mercury...","Bohemian Rhapsody"
"125",125,"","Bohemian Rhapsody"
"126",126,"                           GERMAN ANCHOR (O.S.)","Bohemian Rhapsody"
"127",127,"             ...rock Gott, Freddie Mercury...","Bohemian Rhapsody"
"128",128,"","Bohemian Rhapsody"
"129",129,"                           SPANISH ANCHOR (O.S.)","Bohemian Rhapsody"
"130",130,"             ...súper-cantante...","Bohemian Rhapsody"
"131",131,"","Bohemian Rhapsody"
"132",132,"                           INDIAN ANCHOR (O.S.)","Bohemian Rhapsody"
"133",133,"             ...gayaka--Freddie Mercury -","Bohemian Rhapsody"
"134",134,"","Bohemian Rhapsody"
"135",135,"","Bohemian Rhapsody"
"136",136,"INT. US TV STUDIO - DAY","Bohemian Rhapsody"
"137",137,"","Bohemian Rhapsody"
"138",138,"                           US ANCHOR","Bohemian Rhapsody"
"139",139,"             - died today, in his home, in London.","Bohemian Rhapsody"
"140",140,"                  (beat)","Bohemian Rhapsody"
