"","line","movie"
"1","                                  1917","1917"
"2","","1917"
"3","","1917"
"4","                               Written by","1917"
"5","","1917"
"6","                               Sam Mendes","1917"
"7","                                   &","1917"
"8","                          Krysty Wilson-Cairns","1917"
"9","","1917"
"10","","1917"
"11","","1917"
"12","","1917"
"13","© 2018 Storyworks Productions Limited. All rights reserved.","1917"
"14","                                                        ii","1917"
"15","","1917"
"16","","1917"
"17","","1917"
"18","","1917"
"19","             ‘Life, to be sure,","1917"
"20","              Is nothing much to lose,","1917"
"21","              But young men think it is,","1917"
"22","              And we were young.’","1917"
"23","","1917"
"24","                       -A.E. Housman","1917"
"25","","1917"
"26","","1917"
"27","","1917"
"28","","1917"
"29","‘We have so much to say, and we shall never say it.’","1917"
"30","","1917"
"31","                       -Erich Maria Remarque","1917"
"32","                       All Quiet On The Western Front","1917"
"33","                                                                     iii","1917"
"34","","1917"
"35","","1917"
"36","","1917"
"37","","1917"
"38","                                NOTE:","1917"
"39","The following script takes place in real time, and - with the","1917"
"40","exception of one moment - is written and designed to be one single","1917"
"41","continuous shot.","1917"
"42","                                                          1.","1917"
"43","","1917"
"44","","1917"
"45","","1917"
"46","EXT. MEADOW - DAY, APRIL 6TH 1917","1917"
"47","","1917"
"48","A rolling landscape. The rustling of leaves, and birdsong.","1917"
"49","","1917"
"50","Thunder rumbles in the distance. There is no rain.","1917"
"51","","1917"
"52","A figure lies against a tree, eyes closed - this is","1917"
"53","SCHOFIELD, early-20s. Soft features.","1917"
"54","","1917"
"55","A man is sleeping next to him on the grass - BLAKE, 19,","1917"
"56","youthful, strapping.","1917"
"57","","1917"
"58","                       SERGEANT SANDERS (O.S.)","1917"
"59","          Blake.","1917"
"60","","1917"
"61","Blake doesn’t stir.","1917"
"62","","1917"
"63","                       SERGEANT SANDERS (O.S.) (CONT'D)","1917"
"64","          Blake!","1917"
"65","","1917"
"66","Blake wakes. He’s in uniform, damp and crumpled - Lance","1917"
"67","Corporal chevrons adorn it.","1917"
"68","","1917"
"69","                    BLAKE","1917"
"70","              (sleepily)","1917"
"71","          Sorry, Sarge.","1917"
"72","","1917"
"73","                    SERGEANT SANDERS","1917"
"74","          Pick a man, bring your kit.","1917"
"75","","1917"
"76","                    BLAKE","1917"
"77","          Yes, Sarge.","1917"
"78","","1917"
"79","Blake stands, stiff limbs coming back to life.","1917"
"80","","1917"
"81","Schofield’s eyes are still shut. Blake holds out his hand to","1917"
"82","Schofield. Schofield opens his eyes - they are gentle, wise.","1917"
"83","Schofield grudgingly raises his hand for a lift.","1917"
"84","","1917"
"85","Blake heaves him to his feet - his uniform is identical to","1917"
"86","Blake’s, same rank, the only difference is the brass wound","1917"
"87","stripe on Schofield’s left sleeve.","1917"
"88","","1917"
"89","They trudge towards Sanders, fastening their webbing. A","1917"
"90","smattering of SOLDIERS - same regiment - same state of","1917"
"91","fatigue and filth, lie around them. Stealing sleep.","1917"
"92","","1917"
"93","                    SERGEANT SANDERS (O.S.)","1917"
"94","          Don’t dawdle.","1917"
"95","","1917"
"96","                       BLAKE","1917"
"97","          No, Sarge.","1917"
"98","","1917"
"99","","1917"
"100","                                                     (CONTINUED)","1917"
"101","                                                        2.","1917"
"102","","1917"
"103","CONTINUED:","1917"
"104","","1917"
"105","After a few paces the long grass begins to give way to well","1917"
"106","trodden earth. Washing lines appears on either side of them.","1917"
"107","","1917"
"108","Blake and Schofield move past them. After a while -","1917"
"109","","1917"
"110","                       BLAKE (CONT'D)","1917"
"111","             Did they feed us?","1917"
"112","","1917"
"113","Schofield shakes his head, he hands an envelope to Blake.","1917"
"114","","1917"
"115","                       SCHOFIELD","1917"
"116","             No, just mail.","1917"
"117","","1917"
"118","Blake’s eyes light up at the sight of the envelope, he tears","1917"
"119","it open, reads it as he walks. Eyes scanning quickly, his","1917"
"120","face filling with warmth.","1917"
"121","","1917"
"122","                       BLAKE","1917"
"123","                 (reading)","1917"
"124","             Myrtle’s having puppies.","1917"
"125","","1917"
"126","Blake finishes the note and slips it into a pocket.","1917"
"127","","1917"
"128","                       BLAKE (CONT'D)","1917"
"129","             You get anything?","1917"
"130","","1917"
"131","                       SCHOFIELD","1917"
"132","             No.","1917"
"133","","1917"
"134","Schofield doesn’t seem to mind.","1917"
"135","","1917"
"136","The mess tents are now alongside. Fires are stoked, cooking","1917"
"137","is underway. More soldiers mill about.","1917"
"138","","1917"
"139","                       BLAKE","1917"
"140","             I’m bloody starving, aren’t you? I","1917"
"141","             thought we might get some decent","1917"
"142","             grub out here - only reason I","1917"
"143","             decided against the priesthood.","1917"
"144","","1917"
"145","Schofield lets out a laugh. Blake looks on hungrily as they","1917"
"146","pass by the mess tents.","1917"
"147","","1917"
"148","Schofield rummages in his pockets, finds what he’s looking","1917"
"149","for - a handkerchief with some food wrapped in it. Blake’s","1917"
"150","eyes fall on it hungrily.","1917"
"151","","1917"
"152","                       BLAKE (CONT'D)","1917"
"153","             What you got there?","1917"
"154","","1917"
"155","                       SCHOFIELD","1917"
"156","             Ham and bread.","1917"
"157","","1917"
"158","","1917"
"159","                                                  (CONTINUED)","1917"
"160","                                                           3.","1917"
"161","","1917"
"162","CONTINUED: (2)","1917"
"163","","1917"
"164","                    BLAKE","1917"
"165","          Where did you find that?","1917"
"166","","1917"
"167","                    SCHOFIELD","1917"
"168","          I have my uses.","1917"
"169","","1917"
